Session,Session Title,Day,Time,Chunk,Poster ID,Title,Author 1,Author 2,Author 3,Author 4,Author 5,Author 6,Author 7,Author 8,Author 9,Author 10,Author 11,Author 12,Author 13,Author 14,Author 15,ACM Author Affiliations,abstract
Poster 3A,"Embodied Interaction, Multimodal Control & Assistive Systems","Friday, 9 October",11:15-13:45,Chunk 2,P3665,Spatially Grounding VLA Robot Manipulation with Immersive Grasp and Place Targets,Daniia Zinniatullina,Iaroslav Kolomiets,Mikhail Konenkov,Miguel Altamirano Cabrera,Dzmitry Tsetserukou,,,,,,,,,,,"Daniia Zinniatullina: Skolkovo Institute of Science and Technology, Iaroslav Kolomiets: Skolkovo Institute of Science and Technology, Mikhail Konenkov: Skolkovo Institute of Science and Technology, Miguel Altamirano Cabrera: Skolkovo Institute of Science and Technology, Dzmitry Tsetserukou: Skolkovo Institute of Science and Technology","Vision-language-action (VLA) models follow language commands but often lack explicit spatial intent for manipulation. We present Visual Intent Anchors, an XR pipeline that lets users specify grasp and placement regions and renders them as image-space overlays for VLA control. We collect 200 Unity pick-and-place demonstrations and fine-tune OpenVLA-7B with LoRA on temporally subsampled annotated observations. The policy predicts tokenized 7-DoF incremental actions from marked RGB observations and language. We evaluate the policy in closed-loop Unity trials, achieving a grasp success rate of 91.25% and mean grasp and placement errors of 0.5 cm and 0.7 cm, respectively."
Poster 3B,Interaction & XR Interfaces,"Friday, 9 October",14:15-16:30,Chunk 1,P3767,ORCESTRA: Immersive No-Code and Language-Guided Robot Programming on Mixed-Reality Digital Twins,Ivan Snegirev,Elizaveta Semenyakina,Mikhail Konenkov,Artem Lykov,Miguel Altamirano Cabrera,Dzmitry Tsetserukou,,,,,,,,,,"Ivan Snegirev: Skolkovo Institute of Science and Technology, Elizaveta Semenyakina: Skolkovo Institute of Science and Technology, Mikhail Konenkov: Skolkovo Institute of Science and Technology, Artem Lykov: Skoltech, Miguel Altamirano Cabrera: Skolkovo Institute of Science and Technology, Dzmitry Tsetserukou: Skolkovo Institute of Science and Technology","ORCESTRA is a mixed-reality system for programming robot digital twins through no-code waypoint teaching and language-guided control. In a passthrough mixed-reality workspace, users place robot twins on real surfaces, teach trajectories, save robot-relative episodes, or issue spoken/typed commands that a vision-language model converts into structured digital-twin plans. Both interaction modes share a backend for metric grounding, embodiment-aware validation, preview, confirmation, and digital-twin execution. The system supports heterogeneous robot embodiments, including fixed-base manipulators, a mobile base, and a humanoid robot, demonstrating MR validation as a safety layer for language-guided robot programming before physical deployment."
Poster 2B,"Collaborative XR, Avatars & Navigation","Thursday, 8 October",14:15-16:30,Chunk 3,P3853,Preliminary Evaluation of Transition-Aware Locomotion Adaptations for Supporting Postural Stability in VR,Ramisa Fariha Joyee,M. Rasel Mahmud,,,,,,,,,,,,,,"Ramisa Fariha Joyee: Kennesaw State University, M. Rasel Mahmud: Kennesaw State University","We present three locomotion adaptation approaches: Motion Acceleration, Turn Acceleration, and Motion Deceleration to improve postural stability during body-state transitions in virtual reality (VR). The system detects standing-to-walking, turning, and walking-to-stopping transitions and applies adaptative locomotion smoothing. Motion Acceleration gradually increases locomotion speed when users begin walking, Turn Acceleration smooths rotation while turning, and Motion Deceleration gradually reduces movement speed before stopping. We evaluated these techniques in a virtual navigation task using objective balance measures. Preliminary results show reduced center of pressure (COP) velocity and improved balance confidence. These findings suggest that locomotion adaptations can improve balance and navigation experience."
Poster 3B,Interaction & XR Interfaces,"Friday, 9 October",14:15-16:30,Chunk 1,P4119,Hands-Busy Queries: Comparing Voice and Virtual Keyboard Input for an LLM-Based AI Agent in AR Industrial Quality Inspection,Martim Latas,Gabriel Marques,Patrícia Macedo,Pedro Albuquerque Santos,Rui Neves Madeira,,,,,,,,,,,"Martim Latas: Polytechnic University of Setúbal, Gabriel Marques: Polytechnic University of Setúbal, Patrícia Macedo: Escola Superior de Tecnologia de Setúbal (ESTSetúbal), Inst Politécnico de Setúbal, Pedro Albuquerque Santos: Setúbal School of Technology (ESTSetúbal)/Polytechnic University of Setúbal (IPS), Rui Neves Madeira: Instituto Politécnico de Setúbal","This paper reports a controlled laboratory user study of input modalities for a functional LLM-based AI agent integrated into an Augmented Reality (AR) quality-inspection prototype. The system combines spatial AR inspection guidance with a conversational assistant grounded through Retrieval-Augmented Generation. A within-subject study with 32 participants compared virtual keyboard and speech-to-text input across three inspection-related query tasks. Voice input was significantly faster, achieved higher usability scores, and was preferred for hands-busy scenarios. Results suggest that speech-to-text should serve as the primary modality for rapid operator queries, while virtual keyboard input remains useful as a precision fallback."
Poster 1B,"XR Training, Education & Responsible Use","Wednesday, 7 October",13:45-16:00,Chunk 4,P4166,A Virtual Reality Cognitive Training Platform for Brain Cancer Patients with Mild Cognitive Impairment: Clinical Study-in-Progress   ,Anthony Faiola,Lalanthica Yogendran,Rhonna Shatz,,,,,,,,,,,,,"Anthony Faiola: University of Cincinnati, Lalanthica Yogendran: University of Cincinnati, Rhonna Shatz: University of Cincinnati","Brain cancer affects 76,000 Americans annually. Approximately 80% of brain cancer survivors (BCSs) experience mild cognitive impairment (MCI), affecting memory and executive function (MEF). Although studies show that paper/computerized cognitive training mitigates MCI, meta-analyses confirm that virtual reality can improve MEF in BCSs. We developed a Virtual Reality Cognitive Rehabilitation Training (VR-CRT) platform with immersive cognitive exercises. As a follow-up to our preliminary study, our current four-week intervention/control clinical study (N = 36) will evaluate the feasibility and effect of VR-CRT. Cognitive performance is measured at baseline/pre-post using HVLT/COWA/TMT tests. Anticipated outcomes are modest-to-significant MEF improvements in BCSs with MCI."
Poster 2B,"Collaborative XR, Avatars & Navigation","Thursday, 8 October",14:15-16:30,Chunk 3,P4196,“If Today Were a Place”: Designing Agent-Guided Journaling for AI-Generated Reflective Virtual Spaces,Ruoyu Wen,Daksitha Senel Withanage Don,Xiaohan Wei,Binyang Han,Niklas Heimerl,Simon Hoermann,Elisabeth André,Alaeddin Nassani,Mark Billinghurst,Thammathip Piumsomboon,,,,,,"Ruoyu Wen: University of Canterbury, Daksitha Senel Withanage Don: Augsburg University, Xiaohan Wei: University of Canterbury, Binyang Han: University of Canterbury, Niklas Heimerl: University of Augsburg, Simon Hoermann: University of Canterbury, Elisabeth André: Augsburg University, Alaeddin Nassani: University of Aizu, Mark Billinghurst: Adelaide University, Thammathip Piumsomboon: University of Canterbury","Journaling has been widely used in mental well-being contexts to support self-awareness, emotional reflection, and emotion regulation. Digital journaling extends this practice by reducing writing effort and enabling interactive, guided, and more engaging reflection. In this paper, we present DayScape, a digital journaling system that combines an LLM-driven virtual agent with generative VR. Instead of relying only on text-based entries, DayScape transforms users’ daily reflections into immersive, supportive virtual spaces with generated environments, background soundscapes, and music. We conducted a pilot study with eight participants to evaluate system usability, the perceived quality of the generated VR experiences, and users’ views of VR-based journaling. Our findings provide early insights into how generative VR could support daily reflection and inform the design of a future full-scale study and the development of generative VR systems for mental well-being contexts."
Poster 1B,"XR Training, Education & Responsible Use","Wednesday, 7 October",13:45-16:00,Chunk 4,P4315,A Research Agenda for Responsible Neuro-XR,Marios Constantinides,Kyriaki Kostoglou,Horia A. Maior,Fotis Liarokapis,Max L Wilson,Christos Fidas,,,,,,,,,,"Marios Constantinides: CYENS Centre of Excellence, Kyriaki Kostoglou: Graz University of Technology, Horia A. Maior: University of Nottingham, Fotis Liarokapis: Research Centre on Interactive Media, Smart Systems and Emerging Technologies, Max L Wilson: University of Nottingham, Christos Fidas: University of Patras","As neurotechnology is converging with Extended Reality (XR), advances in neurophysiological monitoring are expanding the ability of XR systems to gain insight into users' attentional, cognitive, and affective states. Existing Responsible XR frameworks address risks associated with behavioural and physiological data, yet Neuro-XR (i.e., XR systems augmented with neural sensing) introduces a different challenge; that is, access to information about users' internal mental processes, raising concerns around mental privacy, cognitive liberty, neuro-surveillance, and algorithmic influence. We argue that this convergence necessitates a new research agenda centred on Responsible Neuro-XR. Drawing on literature in XR ethics, neuroethics, and neurotechnology governance, we identified four core ethical challenges and propose four design considerations for the ISMAR community. We also highlighted research opportunities in neuroadaptive learning, collaboration, wellbeing, and inclusive design where the community can (re)shape responsible development of future brain-aware immersive systems."
Poster 3B,Interaction & XR Interfaces,"Friday, 9 October",14:15-16:30,Chunk 1,P4397,RoomAnchor: Object-Level Room Memory for Embodied XR Assistants,Edward Scott Carvalho Johnson,Arthur Galdino Dangoni,Bianca Mirtes Araújo Miranda,Wilson Maranhão Ramos Filho,Pedro Engelberg Silva Borges,Diogo Fernandes,ARLINDO GALVÃO,,,,,,,,,"Edward Scott Carvalho Johnson: Federal University of Goiás, Arthur Galdino Dangoni: Federal University of Goiás, Bianca Mirtes Araújo Miranda: Federal University of Rio Grande do Norte, Wilson Maranhão Ramos Filho: Federal University of Goiás, Pedro Engelberg Silva Borges: Federal University of Goiás, Diogo Fernandes: Federal University of Goiás, ARLINDO GALVÃO: Federal University of Goias","Embodied XR assistants need room knowledge that can be reused during dialogue and connected to spatial behavior. A room image can describe visible objects, but the assistant also needs a representation that links object descriptions to approximate locations so it can retrieve, answer, and point or move toward relevant objects later. We propose RoomAnchor, an object-level room memory pipeline for embodied XR assistants. RoomAnchor takes a single egocentric RGB room capture, produces object-level 3D hypotheses, labels detected crops, stores the resulting object records in a retrieval index, and uses an agent to answer room-related questions and select reference anchors for embodied behavior. We evaluated RoomAnchor on 24 room scenes and 1440 manually checked room-related question-answer trials. Across this evaluation, RoomAnchor reliably answered questions about mapped room content while usually retrieving the supporting mapped objects and selecting appropriate embodied reference anchors. Memory construction took 2.381 s on average. The results indicate that compact object-level room memory can support reliable room-question answering without continuous reconstruction or a device-specific depth pipeline."
Poster 1B,"XR Training, Education & Responsible Use","Wednesday, 7 October",13:45-16:00,Chunk 4,P4416,Towards Conversational Industrial Mobile Augmented Reality,Andreas Andreou,Marios Constantinides,Fotis Liarokapis,,,,,,,,,,,,,"Andreas Andreou: CYENS - Centre of Excellence, Marios Constantinides: CYENS - Centre of Excellence, Fotis Liarokapis: CYENS - Centre of Excellence","Industrial assembly and maintenance tasks require access to complex technical knowledge, yet consulting manuals or experts is often impractical during hands-busy and safety-critical work. These challenges particularly affect non-knowledge workers (e.g., technicians and operators) who must resolve issues in situ under time pressure. While Augmented Reality (AR) has been used to support industrial training and guidance, many existing systems rely on predefined instructions that cannot adapt to workers’ ad hoc questions. We present a prototype AR system that integrates an LLM-powered conversational assistant to provide hands-free assistance, and illustrate it through a pipe assembly and maintenance use case."
Poster 3B,Interaction & XR Interfaces,"Friday, 9 October",14:15-16:30,Chunk 1,P4516,GeminiPainter: Real-Time AI-Guided Robotic Sketch Generation for Live Portraiture,Miguel Altamirano Cabrera,Aleksey Fedoseev,Iana Zhura,Dzmitry Tsetserukou,,,,,,,,,,,,"Miguel Altamirano Cabrera: Skolkovo Institute of Science and Technology, Aleksey Fedoseev: Skolkovo Institute of Science and Technology, Iana Zhura: Skolkovo Istitute of Science and Technology, Dzmitry Tsetserukou: Skolkovo Institute of Science and Technology","We present an autonomous robotic portrait-generation system combining real-time face detection, AI-based sketch generation, and robotic drawing. The system captures video frames, extracts facial regions, converts them into minimalist single-line sketches using the Gemini Vision API, optimizes stroke order through graph-based path planning, and executes smooth trajectories on a 6-DoF collaborative manipulator. This perception-cognition-action pipeline integrates computer vision, neural artistic abstraction, motion optimization, and robot control. User ratings on a 5-point scale were high for sketch quality (4.33), perceived execution (4.53), and user experience (4.65), indicating recognizable, appealing, and engaging robotic portraits."
Poster 3B,Interaction & XR Interfaces,"Friday, 9 October",14:15-16:30,Chunk 1,P4539,Augmented Reality Action Summaries for Situated Instructions of Repetitive Tasks,Lucchas Ribeiro Skreinig,Ana Stanescu,Peter Mohr,Christoph Ebner,Markus Tatzgern,Dieter Schmalstieg,Denis Kalkofen,,,,,,,,,"Lucchas Ribeiro Skreinig: Graz University of Technology, Ana Stanescu: Graz University of Technology, Peter Mohr: Graz University of Technology, Christoph Ebner: Graz University of Technology, Markus Tatzgern: Salzburg University of Applied Sciences, Dieter Schmalstieg: University of Stuttgart, Denis Kalkofen: Graz University of Technology","Augmented reality (AR) instructions help people understand how to operate or assemble objects by overlaying visual guidance directly onto the physical environment. However, repeatedly presenting detailed instructions can negatively impact performance. We introduce an interactive AR instruction system that groups instructions based on recurring action patterns, providing detailed guidance on the first occurrence of actions and abstracting repeated sequences. We introduce a novel workflow that automatically organizes narrated expert demonstrations into instruction structures using a multimodal large language model, improving the scalability of AR guidance systems. Our user study shows that grouped instruction visualization is clearly preferred."
Poster 3A,"Embodied Interaction, Multimodal Control & Assistive Systems","Friday, 9 October",11:15-13:45,Chunk 2,P4560,An AI-Assisted XR Framework for Continuous Design Validation in Engineering Prototyping,Ali Darejeh,Eliza Lee,,,,,,,,,,,,,,"Ali Darejeh: UNSW, Eliza Lee: UNSW","Engineering prototyping workflows frequently separate design manipulation, compliance checking, and design rationale across CAD, simulation, and documentation tools. This separation delays feedback and can increase the cost of early decisions. We present an AI-assisted XR framework for continuous design validation in engineering prototyping. The framework integrates spatial inspection, in-situ design manipulation, spatial constraint visualization, and AI-supported design reasoning in a unified immersive workflow. We demonstrate the framework through a VR-based automotive engineering application that integrates AI-supported design reasoning with real-time constraint validation. The system supports full-scale inspection, exploded assemblies, semantic labels, interactive component modification, real-time constraint feedback, and AI-generated explanations of engineering trade-offs. The work reframes XR prototyping as an active validation workspace rather than a passive visualization environment."
Poster 3B,Interaction & XR Interfaces,"Friday, 9 October",14:15-16:30,Chunk 1,P4658,Layered Head-Intention Interaction for Low-Cost Mobile VR Museum Tours,Lesi Hu,Hu Yong,Xukun Shen,,,,,,,,,,,,,"Lesi Hu: Beihang University, Hu Yong: Beihang University, Xukun Shen: Beihang University","Low-cost mobile virtual reality (MVR) devices, such as Google Cardboard, support accessible virtual museum tours, but their limited input channels make interaction challenging. In such systems, head movement serves as both natural viewing and control input, which may cause intention ambiguity and false triggers. This paper proposes a Layered Head-Intention Interaction method for low-cost MVR museum tours. The method identifies five recurring interaction types and translates them into five head-intention layers: natural viewing, spatial movement, viewpoint adjustment, system operation, and exhibit information access. These layers are separated through spatial, angular, temporal, and object cues as design rules. We implemented the method in a Cardboard-based virtual museum prototype and conducted a preliminary user study, showing acceptable usability and feasibility."
Poster 3B,Interaction & XR Interfaces,"Friday, 9 October",14:15-16:30,Chunk 1,P4737,A Speech-Driven AR Concept Board for CMF Exploration in Early Product Design,Qing Ao,Suihuai Yu,,,,,,,,,,,,,,"Qing Ao: Northwestern Polytechnical University, Suihuai Yu: Northwestern Polytechnical University","Early CMF exploration in product design often begins with informal design intent but becomes fragmented across generated images, comparison boards, and downstream 3D previews. This fragmentation makes it difficult to trace how color, material, finish, and perceived product qualities are interpreted, compared, selected, and transformed across media. This work presents a speech-driven AR concept-board workflow that structures speech-like CMF intent into a design brief, supports LLM-assisted shortlisting and designer-led board comparison, and links a selected candidate to 3D preview inspection. A portable-speaker walkthrough and preliminary designer feedback illustrate its potential for traceable CMF reasoning in early design."
Poster 2A,"Human Perception, Cognition & XR Methods","Thursday, 8 October",11:15-13:45,Chunk 5,P4773,Or Is It Just Coincidence: Towards Multimodal Interpersonal Synchrony in Real-World and Virtual Interaction Tasks,Zane Zarathushtra Karai,Frederik Kalle,Nastaran Saffaryazdi,Alireza Farrokhi Nia,Kunal Gupta,Benjamin Tag,Mark Billinghurst,,,,,,,,,"Zane Zarathushtra Karai: University of Auckland, Frederik Kalle: University of New South Wales, Nastaran Saffaryazdi: University of Auckland, Alireza Farrokhi Nia: University of Auckland, Kunal Gupta: University of Auckland, Benjamin Tag: University of New South Wales, Mark Billinghurst: University of Auckland","When people interact with each other, they unconsciously produce movements, emotional reactions, and physiological signatures that synchronize with their partner. In this poster, we present a methodology for collecting eye-gaze and brain activity to examine synchronization between pairs of people during competitive gameplay in real-world and Virtual Reality (VR) environments. We investigate how measures differ when players correctly or incorrectly predict their opponent's move, testing if competitive predictions emerge from interpersonal synchrony. By comparing environmental dynamics, we explore whether VR preserves ecologically-valid social functions. This work gives insight into how VR can be used to explore interpersonal synchronization."
Poster 3B,Interaction & XR Interfaces,"Friday, 9 October",14:15-16:30,Chunk 1,P5020,VR-Based Sketching of Crochet-Inspired Openwork Structures for 3D Fabrication,Bixun Chen,Rami Ghannam,,,,,,,,,,,,,,"Bixun Chen: University of Glasgow, Rami Ghannam: Purdue University","We present an early-stage VR-based system for embodied crochet-style designs through freeform line sketching in 3D space. Unlike existing crochet modeling approaches with surface tiling or pattern-based workflows, our method focuses on sparse, lace-like openwork structures characterized by branching lines and spatial voids. The system translates user-drawn strokes into procedural crochet arrangements and generates models suitable for FDM and SLA 3D printing. Our initial exploration suggests that VR enables intuitive spatial creation of decorative crochet forms, supporting rapid prototyping of open structures. We discuss fabrication limitations and highlight opportunities for embodied digital craft design in VR environments."
Poster 3A,"Embodied Interaction, Multimodal Control & Assistive Systems","Friday, 9 October",11:15-13:45,Chunk 2,P5056,VR-GPT: VLM-based Task Assistant for Natural Language User-Computer Interaction in Virtual Environments ,Mikhail Konenkov,Daria Trinitatova,Artem Lykov,Dzmitry Tsetserukou,,,,,,,,,,,,"Mikhail Konenkov: Skolkovo Institute of Science and Technology, Daria Trinitatova: Skolkovo Institute of Science and Technology, Artem Lykov: Skoltech, Dzmitry Tsetserukou: Skolkovo Institute of Science and Technology","Industrial VR is increasingly used for operator training, work-cell simulation, and procedural guidance, yet VLM integration in interactive VR remains underexplored. We present VR-GPT, a Unity-based system that couples a domain-fine-tuned Qwen2-VL-7B model with voice interaction for context-aware task assistance without visual text overlays. The HMD view is streamed to a VLM server via WebSocket, while Whisper STT and Jets/ESPnet TTS support conversation. Fine-tuning on 400 VR-scene images using QLoRA improved task-guidance success by 1.97× over the baseline. In a pilot study (n=6), VR-GPT reduced execution time by 13.7% and wrong actions from 2.6 to 1.7, indicating improved practical usability."
Poster 1B,"XR Training, Education & Responsible Use","Wednesday, 7 October",13:45-16:00,Chunk 4,P5139,Striving for Stability: Evaluating the Feasibility of Dynamic Balance Skills Across the Reality–Virtuality Continuum,Alexander Schwadtke,Stefan Pastel,Matthias Kunz,Patrick Müller,Rüdiger Braun-Dullaeus,Christian Hansen,Kerstin Witte,Danny Schott,,,,,,,,"Alexander Schwadtke: Otto von Guericke University Magdeburg, Stefan Pastel: Otto von Guericke University Magdeburg, Matthias Kunz: Clinic for Cardiology and Angiology, Patrick Müller: Otto von Guericke University of Magdeburg, Rüdiger Braun-Dullaeus: Clinic for Cardiology and Angiology, Christian Hansen: Faculty of Computer Science, Kerstin Witte: Otto von Guericke University Magdeburg, Danny Schott: Otto-von-Guericke University","Dynamic balance assessment is important in sports and rehabilitation. Mixed Reality (MR) offers new opportunities for portable diagnostics. This study investigated whether the standardized Y-Balance Test (YBT) can be reliably and validly administered in MR environments. Twenty-four participants performed the YBT in a real environment (RE), Augmented Reality (AR), Augmented Virtuality (AV), and Virtual Environment (VE) on two test days. Results confirmed validity across all MR conditions (p > 0.05), with good test-retest reliability in AR and VE and moderate-to-good reliability in AV. Despite higher perceived demands, MR-based YBT assessment showed outcomes comparable to RE, supporting its feasibility for diagnostics."
Poster 3B,Interaction & XR Interfaces,"Friday, 9 October",14:15-16:30,Chunk 1,P5213,Toward WorldMCP: An Agent-First Approach for Spatial-Grounding of AR VLMs,Emeric Marguet,Sebastian Hubenschmid,Niklas Elmqvist,,,,,,,,,,,,,"Emeric Marguet: Aarhus University, Sebastian Hubenschmid: Aarhus University, Niklas Elmqvist: Aarhus University","Current LLM-powered augmented reality systems rely on dedicated perception pipelines to bridge semantic understanding and real-world coordinates. 
However, recent advances in AI increasingly render this division obsolete, enabling scene analysis to be reasoned about entirely within the model itself --- given the right tools.
We present WorldMCP, an approach that lets VLMs view a raw scene, spatially ground references within it, and then register and anchor virtual objects directly in an AR environment. 
A preliminary evaluation using frontier models confirms the feasibility of our approach, paving the way for general-purpose assistants that leverage unrestricted scene understanding through the use of tools."
Poster 1B,"XR Training, Education & Responsible Use","Wednesday, 7 October",13:45-16:00,Chunk 4,P5228,Co-Designing Conversational AR Avatars for Low-Pressure Classroom Support,Manjeet Singh,Sajjanhar Atul,Yi Wang,Shaun Bangay,Rasnaam Kaur,Dr. Harjit Kaur,Harjinder Kaur,,,,,,,,,"Manjeet Singh: Deakin University, Sajjanhar Atul: Deakin University, Yi Wang: Deakin University, Shaun Bangay: Deakin University, Rasnaam Kaur: National Institute of Education, Dr. Harjit Kaur: Forest Classroom , Harjinder Kaur: Lotus Bridge International Academy","Conversational and augmented reality technologies offer new opportunities for classroom learning support, yet their design often overlooks the social and emotional conditions that shape students’ willingness to ask for help. This paper presents a co-design study of a conversational AR avatar intended to support low-pressure help-seeking and emotional regulation in classrooms. Through workshops and surveys with 47 students and 13 teachers, we found that the main barriers to help-seeking were social rather than purely cognitive, especially fear of judgement, embarrassment, and unwanted visibility. Participants preferred the avatar to act as a low-authority peer or guide, provide scaffolded support rather than direct answers, and offer multimodal interaction options that preserve privacy. Based on these findings, we derive design requirements for conversational AR avatars as socially aware, classroom-integrated support tools."
Poster 2A,"Human Perception, Cognition & XR Methods","Thursday, 8 October",11:15-13:45,Chunk 5,P5343,The Extended Six-Dimensional Framework for Intelligent XR Learning Environments (6D-XR Framework),Fotis Liarokapis,Ourania Miliou,Yiorgos Chrysanthou,,,,,,,,,,,,,"Fotis Liarokapis: CYENS - Centre of Excellence, Ourania Miliou: CYENS - Centre of Excellence, Yiorgos Chrysanthou: CYENS - Centre of Excellence","The integration of Artificial Intelligence (AI) and Extended Reality (XR) is transforming immersive learning environments into adaptive, intelligent educational ecosystems. Existing XR learning frameworks provide valuable foundations but do not fully address recent advances in AI-driven personalization, intelligent tutoring, and responsible innovation. This paper proposes an Extended Six-Dimensional Framework that expands the four-dimensional framework by introducing two additional dimensions: Intelligence and Adaptation, and Ethics, Trust, and Sustainability. The framework integrates learner characteristics, pedagogy, immersive representation, context, intelligent adaptation, and ethical considerations into a unified structure for designing, evaluating, and guiding next-generation XR learning environments."
Poster 1A,"Visualization, Rendering & Immersive Experience","Wednesday, 7 October",10:30-12:45,Chunk 6,P5344,VR-CineCam: Intent-Aware Automatic Spectator Camera for VR Gameplay,Sungnam Kim,Mincheng Piao,Jong-Il Park,,,,,,,,,,,,,"Sungnam Kim: Hanyang University, Mincheng Piao: Hanyang University, Jong-Il Park: Hanyang University","When external spectators view VR gameplay on a 2D monitor, first-person and basic third-person follow views may not clearly convey what the player is doing and why. We present VR-CineCam, an intent-aware automatic spectator camera system for VR gameplay. It infers player intent from gameplay context and the object or character relevant to the player's current action, then selects a third-person shot that balances visibility and stable camera transitions. In a user study, VR-CineCam improved spectators’ understanding of scene events, player intention, and target relationships. These results suggest the value of intent-aware 2D spectator views for VR gameplay."
Poster 2B,"Collaborative XR, Avatars & Navigation","Thursday, 8 October",14:15-16:30,Chunk 3,P5348,Physically Interactable Gaussian Splatting for Shared MR–VR Remote Inspection,Semin Bae,Sungwook Choi,Chul Min Yeum,Jongseong Brad Choi,,,,,,,,,,,,"Semin Bae: State University of New York, Sungwook Choi: State University of New York, Chul Min Yeum: University of Waterloo, Jongseong Brad Choi: State University of New York","Inspecting large or hazardous facilities requires scarce on-site experts. Video inspection locks the expert's viewpoint; point clouds lack the fidelity to judge fine surfaces. We present a shared MR–VR teleinspection system where an on-site MR user and a remote VR expert co-inhabit one photorealistic 3D Gaussian Splatting replica—shared, metric, and touchable at once, unlike single-user or unregistered 3DGS. A lightweight offline pipeline (single-marker scaling, 2DGS collider extraction, image-based localization) registers users and assets into one common metric frame, enabling on-surface pointing, metric measurement, and cross-reality annotation. We validate each component in a proof-of-concept room."
Poster 2A,"Human Perception, Cognition & XR Methods","Thursday, 8 October",11:15-13:45,Chunk 5,P5374,Do Elliptical Avatar Distortions Shape 3D Reaching Movements?,Iris Willaert,Valentin Vallageas,David R Labbe,,,,,,,,,,,,,"Iris Willaert: École de technologie supérieure, Valentin Vallageas: École de technologie supérieure, David R Labbe: École de technologie supérieure","Embodied avatars can influence movement when their movements are distorted. We tested whether an ovalized self-avatar hand trajectory alters unconstrained 3D reaching during straight back-and-forth movements, and whether this effect depends on whether moving toward the avatar can reduce the spatial discrepancy between the participant’s real hand and the displayed avatar hand. Participants performed reaches under No-Distortion, Adaptive Elliptical Distortion, and Fixed Elliptical Distortion conditions. The distortion produced a small but significant increase in trajectory ovalization and reduced embodiment, but ovalization did not differ between distortion methods. These results suggest modest visuomotor interference rather than strong avatar following."
Poster 3A,"Embodied Interaction, Multimodal Control & Assistive Systems","Friday, 9 October",11:15-13:45,Chunk 2,P5498,Vid2Spatial: Controllable Spatial Audio Authoring by Parameter Extraction from Video and Sketch,Seungryeol Paik,Kyungsu Kim,Kyogu Lee,,,,,,,,,,,,,"Seungryeol Paik: Seoul National University , Kyungsu Kim: Seoul National University, Kyogu Lee: Seoul National University","Spatial audio is central to presence in AR/MR, yet authoring it means entering long
sequences of 3D positional parameters by hand. Vid2Spatial reframes authoring as
spatial parameter extraction: a per-frame stream of azimuth, elevation, and relative
distance is extracted from monocular video or a freehand 3D sketch, stored as an
editable artifact, and routed to binaural, Ambisonics, and OSC consumers without
re-extraction. A controlled study (N=12) shows 41-49% faster authoring and 87-90%
fewer edits; tracking reaches 1.36-degree and generalizes across 24 non-COCO
categories, while an end-to-end audio-visual baseline recovers no usable azimuth; a
perceptual study (N=20) adds support."
Poster 1A,"Visualization, Rendering & Immersive Experience","Wednesday, 7 October",10:30-12:45,Chunk 6,P5535,Finetuning Prompt-Based Image Editor for Geometry-Consistent Room Defurnishing,Prakhar Kulshreshtha,Brian Pugh,Zachary Nussdorfer,Salma Jiddi,,,,,,,,,,,,"Prakhar Kulshreshtha: Geomagical Labs, Inc., Brian Pugh: Geomagical Labs, Zachary Nussdorfer: Geomagical Labs, Inc., Salma Jiddi: Geomagical Labs","Erasing all furniture from a room to generate its empty version is valuable for various AR and virtual staging applications. The challenge in achieving this is twofold: inpainting the furniture regions with realistic content, and doing so without distorting the room's 3D geometry. Prompt-driven image editors, such as FLUX.2, handle realism impressively, but their structural faithfulness is inferior to explicit layout conditioned inpainting. Hence, to improve geometric consistency, we propose a training recipe for finetuning a LoRA on 2,500 furnished-empty room pairs. Flux.2 with our LoRA adaptor significantly improves geometric consistency while retaining the high texture fidelity."
Poster 3A,"Embodied Interaction, Multimodal Control & Assistive Systems","Friday, 9 October",11:15-13:45,Chunk 2,P5609,WavePlay: Static and dynamic hand gestures for playback controls in VR 360° films,Tanushree Pillai,Jayesh S. Pillai,,,,,,,,,,,,,,"Tanushree Pillai: Indian Institute of Technology Bombay, Jayesh S. Pillai: Indian Institute of Technology Bombay","360° VR video playback controls rely on spatial UIs, adapted from desktop interfaces, which creates occlusion and disrupts the sense of presence. WavePlay is a novel media control interface using mid-air hand gestures, eliminating UI overlay entirely. A pilot usability study (N=24) compared WavePlay against the spatial UI of SkyboxVR across task completion speed, presence, and perceived agency. WavePlay achieved comparable performance on all measures, however, hand tracking limitations introduced minor fatigue.
Findings reveal core trade-offs between spatial UI familiarity and direct gesture interaction in controller-free contexts. These insights inform design guidelines for hand gesture-based VR media playback control."
