Session,Session Title,Day,Time,Chunk,Poster ID,Title,Author 1,Author 2,Author 3,Author 4,Author 5,Author 6,Author 7,Author 8,Author 9,Author 10,Author 11,Author 12,Author 13,Author 14,Author 15,ACM Author Affiliations,abstract
Poster 2A,"Human Perception, Cognition & XR Methods","Thursday, 8 October",11:15-13:45,Chunk 5,P3145,Does Full-Body Motion Reveal More? Comparing Human Inference of Personal Attributes from Upper-Body and Full-Body Motion,Jiayi Liu,Arran Zeyu Wang,Mark Roman Miller,Danielle Albers Szafir,William Christopher Payne,,,,,,,,,,,"Jiayi Liu: The University of North Carolina at Chapel Hill, Arran Zeyu Wang: University of North Carolina-Chapel Hill, Mark Roman Miller: Illinois Institute of Technology, Danielle Albers Szafir: University of North Carolina-Chapel Hill, William Christopher Payne: University of North Carolina at Chapel Hill","Motion tracking in extended reality (XR) enables immersive experiences but also raises privacy concerns. Prior work has shown that motion data enables model-based personal attribute inference, with richer body tracking improving accuracy. However, less is known about whether tracking more body regions can also improve human perceptual inference. This study compares upper-body and full-body motion tracking in a between-subjects experiment (N = 120), where participants inferred gender, age, height, weight, and ethnicity from skeletal motion clips. While participants reliably inferred certain attributes in both conditions, there was no statistically significant difference in accuracy between conditions."
Poster 1A,"Visualization, Rendering & Immersive Experience","Wednesday, 7 October",10:30-12:45,Chunk 6,P3264,A Body-Proportional Constraint Architecture for Kinematically-Verified Full-Body VR Exergaming,Pheelip Raipure,suryansh Bakshi,Abhijit Patil,Christian Eichhorn,David A. Plecher,Annushree Bablani,Anish Chand Turlapaty,Johanna Pirker,Himangshu Sarma,,,,,,,"Pheelip Raipure: Indian Institute of Information Technology Sri City, suryansh Bakshi: Indian institute of information technology sri city, Abhijit Patil: Indian Institute of Information Technology, Christian Eichhorn: Technical University of Munich, David A. Plecher: Technical University, Annushree Bablani: Indian Institute of Information Technology Sri City, Anish Chand Turlapaty: Indian Institute of Information Technology Sri City, Johanna Pirker: TUM, Himangshu Sarma: Indian Institute of Information Technology Sri City","Current full-body VR exergames lack the ability to determine whether players are actually exercising during gameplay. Players can satisfy game objectives through minimal head bobs and wrist flicks without ever engaging in genuine physical movement. We built TiltFit, a VR exergame where every in-game action is tied to real, measurable body movement through a novel Body-Lock constraint architecture. The system calibrates personalised squat and lunge thresholds from each player’s own body proportions, integrates a Dynamic Difficulty Adjustment algorithm, and includes an anti-cheat system that catches players who try to fake squats by simply nodding their heads. We evaluated TiltFit with 15 participants using independent body-worn sensors to verify that what the game detects as a squat is genuinely a squat. The answer is yes: HMD vertical displacement and knee flexion angles were strongly correlated (mean |r| = 0.79 across 23 sessions). We also discovered that when players were dropped into the game with no instructions, they could figure out the body-mapped controls in about 7 minutes with the help of a progressive hint system, and their perception of the system’s usability remained positive throughout. Participants’ heart rates climbed steadily into the moderate-intensity exercise zone during gameplay, and they reported feeling physically
challenged but not frustrated. TiltFit provides the first published kinematic proof that a VR exergame produces genuine exercise."
Poster 1A,"Visualization, Rendering & Immersive Experience","Wednesday, 7 October",10:30-12:45,Chunk 6,P3394,Mirror-Based Avatar Transition Visualization During VR Scene Changes,Dong-Yun Kim,Ho Jung Lee,Taewoo Jo,In-Kwon Lee,,,,,,,,,,,,"Dong-Yun Kim: Yonsei University, Ho Jung Lee: Yonsei University, Taewoo Jo: Yonsei University, In-Kwon Lee: Yonsei University","Scene transition techniques for moving users across virtual environments are widely studied. Such transitions often require changing the avatar to match the destination's context. However, how to present these avatar changes remains underexplored. We introduced a waiting room between transitions to make avatar changes perceivable. Within this room, we compared how the changes were perceived with and without a mirror under cut or dissolve transition techniques. Mirror-based visualization supported aspects of user experience and embodiment, whereas transition type showed more limited effects. The results show the necessity of explicitly presenting avatar transitions in scene transition design."
Poster 1B,"XR Training, Education & Responsible Use","Wednesday, 7 October",13:45-16:00,Chunk 4,P3493,Evaluating LLM-Driven Virtual Parent Dialogues in VR for Negative Emotion Elicitation in Pre-Service Early Childhood Teachers,Chunyue Yan,Pengxiang Wang,Fangbing Qu,Xiaohui Tan,,,,,,,,,,,,"Chunyue Yan: Information Engineering College, Pengxiang Wang: College of Information Engineering, Capital Normal University, Fangbing Qu: Capital Normal University, Xiaohui Tan: Capital Normal University","Communication with emotionally expressive parents may induce negative emotions in early childhood teachers, challenging emotion-management training. Although VR can simulate such interactions, prior work relies on passive observation or scripted dialogues. We evaluated an LLM-driven virtual parent dialogue approach in VR for eliciting negative emotions in pre-service early childhood teachers. Twenty-eight participants completed dialogues with anxious and angry virtual parents while subjective and physiological data were collected. Both dialogues elicited negative subjective changes and physiological responses; participants recognized affective profiles, and angry parents produced stronger negative responses. Findings provide an experimental basis for teacher training and VR emotion-elicitation research."
Poster 1A,"Visualization, Rendering & Immersive Experience","Wednesday, 7 October",10:30-12:45,Chunk 6,P3566,Multimodal Augmented Reality Guidance for Object Localization and Wayfinding in Visually Challenging Environments,Rafael Damouni,Muhammad Haj Ali,Julian Kreimeier,Hannah Schieber,Daniel Roth,Sarit Szpiro,Ilan Shimshoni,,,,,,,,,"Rafael Damouni: University of Haifa, Muhammad Haj Ali: University of Haifa, Julian Kreimeier: Technical University of Munich, Hannah Schieber: Technical University of Munich (TUM), Daniel Roth: Technical University of Munich, Sarit Szpiro: University of Haifa, Ilan Shimshoni: The University of Haifa","Object localization is difficult in cluttered environments, particularly for people with visual impairments like tunnel vision. Augmented reality (AR) and spatial audio offer promising avenues for assistive cueing, yet little is known about how auditory, visual, and combined cues compare in guiding object search in naturalistic conditions. Using a video-see-through head-mounted display and camera-based object pose estimation, we compared these conditions in a user study where participants searched objects in an everyday environment under simulated tunnel vision. Our system provides distance-adaptive, spatially localized guidance toward the objects. Our study revealed the potential of dual-modality spatialized cues in supporting daily tasks."
Poster 2B,"Collaborative XR, Avatars & Navigation","Thursday, 8 October",14:15-16:30,Chunk 3,P3590,"First Comes Trust,  Then Comes the Slip-of-Tongue: How Social Cues and Reciprocity Drive User Self-Disclosure with Virtual Agents",Natalia Lipp,Fabian Schunk,Cornelia Wrzus,,,,,,,,,,,,,"Natalia Lipp: Heidelberg University, Fabian Schunk: Heidelberg University, Cornelia Wrzus: Heidelberg University","This experimental study investigates how characteristics of virtual avatars build trust and encourage user (excessive) self-disclosure within a VR-based digital interview context. Thus, we manipulate agents’ social cues and conversational reciprocity in an adult lifespan sample. We specifically focus on older adults, whose age-related changes in motivational priorities and cognitive control may increase their susceptibility to oversharing. Self-disclosure is operationalized via response rates and elaboration during conversations about personal information. By evaluating these dynamics, this research clarifies privacy boundaries and rapport-building in human-agent interactions across different age groups. Data collection is ongoing, with final results expected in August 2026."
Poster 1A,"Visualization, Rendering & Immersive Experience","Wednesday, 7 October",10:30-12:45,Chunk 6,P3628,Immersive Point Cloud Inspection: A Hierarchical Octree Streaming Add-on for the Godot Game Engine,Florian Richter,Béatrice Gagnon,Bernhard Jung,,,,,,,,,,,,,"Florian Richter: TU Bergakademie Freiberg, Béatrice Gagnon: Université de Sherbrooke, Bernhard Jung: TU Bergakademie Freiberg","Game engines enable the fusion of scientific 3D data with interactive applications to create highly immersive and engaging user experiences. However, large-scale scenes generate a large amount of data and real-time capabilities can be limited. Sophisticated point cloud renderers therefore use optimizations, such as hierarchical octree data structures to stream data on demand and ensure high rendering performance while preserving important details.
We propose a minimalist add-on for the free and open-source (FOSS) Godot game engine as an alternative to commercial engines. Our open-source add-on seamlessly integrates point cloud data while being compatible with various desktop and VR platforms."
Poster 1B,"XR Training, Education & Responsible Use","Wednesday, 7 October",13:45-16:00,Chunk 4,P3630,Spatializing Algorithmic Bias in XR: A Bio-Inspired Mechanism for User Awareness and Intervention,Yiding Wang,,,,,,,,,,,,,,,Yiding Wang: A. Alfred Taubman College of Architecture and Urban Planning,"As social media has become a central part of daily life, algorithmically driven recommender systems can now shape many human decisions, including what they view, what they focus on, and what they do. These recommendations introduce algorithmic bias based on the assumptions and choices made during the system's development and data use. The benefits of using recommender systems to enhance the social media experience are substantial, but so too is the potential to affect users' cognitive processes and decision-making through embedded algorithmic biases. Most current studies addressing algorithmic bias focus on model design, auditing, and regulation, with little to no research on how users interact with and dispute these systems. To address this gap, this study proposes to develop an interdisciplinary Human-Computer Interaction (HCI) method using Extended Reality (XR) to create a fully immersive virtual environment that renders abstract algorithmic biases as tangible, manipulable spatial elements.

Drawing on self-organization in ant colonies as my model, I am developing the A-N-T-S (Apprehension–Negation–Transition–specialization) model of user behavior to understand what causes users to detect and oppose algorithmic bias. The ANTS model is guiding the development of an XR prototype that brings together geographic information systems and multimodal interaction to represent weighted algorithmic decisions as dynamic ""crack zones"" and bias maps. In the XR environment, users can navigate a virtually distorted city, experience the spatial manifestation of recommender logic, and test different paths to escape or intervene in the recommendation process (see Fig. 1). My planned user study will investigate whether using this XR environment based on the ANTS model can improve users' ability to perceive, resist, and interpret algorithmic bias, providing a design framework for more transparent, participatory, and user-focused algorithms."
Poster 1A,"Visualization, Rendering & Immersive Experience","Wednesday, 7 October",10:30-12:45,Chunk 6,P3651,Comparing 360-Degree Panoramic Videos and Peripheral Projection for Immersive VR Streaming Experiences,Yuma Kokubu,Tomokazu Ishikawa,,,,,,,,,,,,,,"Yuma Kokubu: Toyo of University, Tomokazu Ishikawa: Toyo University","Converting existing flat video content into immersive VR experiences offers a scalable path to leveraging vast archives of media for XR entertainment. However, whether AI-generated 360-degree conversion meaningfully enhances presence without increasing VR sickness remains unclear. We evaluate an approach using Argus, a deep learning-based panoramic generation method, to convert flat videos into 360-degree panoramas presented in VR space via Apple Vision Pro. A within-subjects experiment with 20 participants across six video stimuli and three conditions compared this approach against standard flat viewing and peripheral projection using ExtVision. IPQ results showed significantly higher presence for all six videos ($p < 0.05$ or better), while VRSQ results indicated no significant increase in VR sickness except for third-person game content. These findings provide content-type-specific design guidelines, offering practical contributions toward converting legacy video content for XR consumption."
Poster 3B,Interaction & XR Interfaces,"Friday, 9 October",14:15-16:30,Chunk 1,P3655,On Designing Task-Assisting HUDs for EVAs on the Moon,Aurelia Föllner,Marius Grießhammer,Maic Masuch,Aidan Cowley,,,,,,,,,,,,"Aurelia Föllner: Otto von Guericke University, Marius Grießhammer: University of Duisburg-Essen, Maic Masuch: University of Duisburg-Essen, Aidan Cowley: European Space Agency","This work explores the early design of Augmented Reality Head-Up Displays (HUDs) to support astronauts during lunar surface missions, using a simulated Extravehicular Activity task in Virtual Reality for user-centered development. Based on preliminary interviews, two HUD concepts were designed, implemented, and tested in a simulated deployment task on the lunar surface. Both HUDs were well received and considered propitious for providing assistance, particularly through a task procedure step list. Early stage feedback provides a foundation for future system iterations and indicates the target group's desire for user customization."
